City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,crane,31.3974,-102.3501,16.02,19,0,3.31,US,1702759399
1,port-aux-francais,-49.35,70.2167,6.37,87,97,11.11,TF,1702759386
2,mahina,-17.5065,-149.489,29.87,70,20,4.12,PF,1702759211
3,bazarak,35.3129,69.5152,-2.18,77,26,4.56,AF,1702759461
4,conde,-7.2597,-34.9075,26.7,78,0,6.17,BR,1702759461
5,isafjordur,66.0755,-23.124,1.71,88,99,3.47,IS,1702759388
6,avarua,-21.2078,-159.775,27.03,83,75,4.12,CK,1702759392
7,naze,28.3667,129.4833,13.51,70,100,9.85,JP,1702759437
8,adamstown,-25.066,-130.1015,22.8,79,96,6.29,PN,1702759388
9,malango,-2.9627,119.9001,19.31,96,95,1.28,ID,1702759462
10,saint-joseph,-21.3667,55.6167,24.21,80,48,3.81,RE,1702759462
11,fang,19.9169,99.2145,17.01,93,20,0.38,TH,1702759462
12,bethel,41.3712,-73.414,12.05,45,0,1.54,US,1702759386
13,grytviken,-54.2811,-36.5092,11.38,60,29,4.66,GS,1702759386
14,pikalevo,59.5183,34.1664,-4.6,95,99,3.77,RU,1702759462
15,xilin hot,43.9667,116.0333,-27.45,94,6,3.2,CN,1702759444
16,margaret river,-33.95,115.0667,14.95,85,60,5.95,AU,1702759389
17,san andres,12.5847,-81.7006,29.01,70,20,2.57,CO,1702759462
18,puerto natales,-51.7236,-72.4875,10.46,51,49,5.06,CL,1702759393
19,caleta de carquin,-11.0925,-77.6267,22.96,77,96,5.7,PE,1702759463
20,gamba,-2.65,10.0,26.49,88,100,1.61,GA,1702759463
21,rosa zarate,0.3333,-79.4667,24.31,93,100,1.06,EC,1702759463
22,talnakh,69.4865,88.3972,-21.0,99,100,4.15,RU,1702759394
23,papatowai,-46.5619,169.4708,16.11,78,100,4.08,NZ,1702759387
24,osorno,-40.5667,-73.15,11.17,100,100,2.06,CL,1702759463
25,prince rupert,54.3161,-130.3201,2.83,92,0,3.6,CA,1702759405
26,saipan,15.1355,145.701,27.39,78,40,5.66,MP,1702759391
27,petropavlovsk-kamchatsky,53.0452,158.6483,-11.97,89,0,5.36,RU,1702759404
28,porto novo,6.4965,2.6036,28.9,71,3,2.42,BJ,1702759410
29,thompson,55.7435,-97.8558,0.09,74,40,6.17,CA,1702759194
30,buka,40.8108,69.1986,-0.33,90,100,0.78,UZ,1702759391
31,camrose,53.0168,-112.8353,2.17,85,46,2.5,CA,1702759390
32,puerto ayora,-0.7393,-90.3518,28.98,100,81,1.34,EC,1702759401
33,happy valley-goose bay,53.3168,-60.3315,-10.83,48,20,9.77,CA,1702759417
34,port elizabeth,-33.918,25.5701,19.5,93,0,3.09,ZA,1702759419
35,flying fish cove,-10.4217,105.6791,20.82,94,93,0.51,CX,1702759388
36,srandakan,-7.9386,110.2506,25.55,78,97,1.91,ID,1702759464
37,bilibino,68.0546,166.4372,-30.14,99,18,2.42,RU,1702759416
38,howard springs,-12.497,131.047,25.95,97,100,0.81,AU,1702759408
39,ulsteinvik,62.3432,5.8487,8.75,72,16,5.81,NO,1702759464
40,vilyuysk,63.7553,121.6247,-36.02,100,96,0.77,RU,1702759447
41,rabigh,22.7986,39.0349,25.73,23,0,7.0,SA,1702759464
42,midvagur,62.0511,-7.1939,5.46,81,75,1.03,FO,1702759464
43,codrington,-38.2667,141.9667,12.37,82,17,3.48,AU,1702759465
44,ushuaia,-54.8,-68.3,5.81,75,75,14.4,AR,1702759118
45,kayyerkan,69.3786,87.7439,-20.95,83,97,3.6,RU,1702759465
46,vorgashor,67.5833,63.95,-14.71,83,100,6.27,RU,1702759398
47,fairfield,41.2668,-73.3162,11.55,57,0,4.12,US,1702759294
48,tiksi,71.6872,128.8694,-28.94,94,94,1.59,RU,1702759387
49,nar'yan-mar,67.6713,53.087,-9.29,93,100,6.56,RU,1702759419
50,jamestown,42.097,-79.2353,11.77,56,0,2.57,US,1702759331
51,qaqortoq,60.7167,-46.0333,-2.52,89,100,6.47,GL,1702759407
52,blackmans bay,-43.0167,147.3167,12.63,73,30,0.89,AU,1702759391
53,hamilton,39.1834,-84.5333,14.22,44,0,3.09,US,1702759077
54,klyuchi,52.2667,79.1667,-19.91,99,83,2.13,RU,1702759408
55,lata,40.1629,-8.3327,7.26,78,0,1.61,PT,1702759413
56,kingston,17.997,-76.7936,28.53,72,20,10.29,JM,1702759393
57,minot air force base,48.4209,-101.3391,2.05,73,0,6.17,US,1702759466
58,edinburgh of the seven seas,-37.0676,-12.3116,13.2,71,69,6.95,SH,1702759396
59,invercargill,-46.4,168.35,14.66,83,100,6.73,NZ,1702759390
60,bredasdorp,-34.5322,20.0403,17.86,77,5,1.13,ZA,1702759392
61,korla,41.7597,86.1469,-11.92,77,3,0.5,CN,1702759445
62,tura,25.5198,90.2201,13.72,82,1,1.58,IN,1702759420
63,lubango,-14.9172,13.4925,18.37,78,98,1.02,AO,1702759466
64,albany,42.6001,-73.9662,10.23,72,62,1.55,US,1702759293
65,ribeira grande,38.5167,-28.7,19.32,94,75,7.72,PT,1702759399
66,komsomol'skiy,43.9783,46.6985,2.57,74,100,4.14,RU,1702759466
67,opuwo,-18.0607,13.84,24.6,27,43,3.95,NA,1702759435
68,redencao,-4.2258,-38.7306,28.12,65,98,3.12,BR,1702759466
69,college,64.8569,-147.8028,-15.03,82,75,3.09,US,1702759139
70,tazovsky,67.4667,78.7,-17.13,82,100,7.65,RU,1702759388
71,castel di sangro,41.7737,14.1035,3.79,90,55,4.25,IT,1702759467
72,augusto correa,-1.0217,-46.635,27.65,77,66,3.39,BR,1702759467
73,hermanus,-34.4187,19.2345,17.84,80,50,2.48,ZA,1702759411
74,yellowknife,62.456,-114.3525,-17.47,92,100,3.6,CA,1702759389
75,cochem,50.1333,7.15,6.24,100,55,4.12,DE,1702759467
76,moa,20.6569,-74.9403,25.26,85,96,6.26,CU,1702759467
77,kodiak,57.79,-152.4072,2.73,100,100,3.09,US,1702759393
78,stanley,54.868,-1.6985,10.29,87,20,10.8,GB,1702759387
79,berezovyy,51.6667,135.7,-23.37,74,100,0.95,RU,1702759467
80,fortuna,40.5982,-124.1573,21.63,47,0,3.13,US,1702759430
81,batticaloa,7.7102,81.6924,26.1,86,47,2.82,LK,1702759448
82,dzhalagash,45.0833,64.6667,-4.19,49,100,3.3,KZ,1702759467
83,oranjemund,-28.55,16.4333,16.24,95,26,4.35,NA,1702759436
84,moyynkum,44.2914,72.9469,-10.12,92,96,2.66,KZ,1702759468
85,sechura,-5.5569,-80.8222,24.72,68,80,5.39,PE,1702759468
86,port mathurin,-19.6833,63.4167,26.49,77,2,6.72,MU,1702759402
87,ketchikan,55.3422,-131.6461,1.99,93,100,1.54,US,1702759258
88,dolores,-36.3132,-57.6792,26.18,71,100,7.0,AR,1702759468
89,wenling,28.3669,121.36,1.08,63,100,7.21,CN,1702759468
90,georgetown,5.4112,100.3354,26.96,82,20,2.57,MY,1702759395
91,tateyama,34.9833,139.8667,13.94,44,0,17.09,JP,1702759468
92,ar rutbah,33.0381,40.2848,13.31,39,100,4.16,IQ,1702759468
93,weno,7.4515,151.8468,27.97,78,75,3.6,FM,1702759434
94,purpe,64.4803,76.6897,-19.26,86,100,7.02,RU,1702759469
95,waitangi,-43.9535,-176.5597,15.46,95,87,1.79,NZ,1702759388
96,iqaluit,63.7506,-68.5145,-23.15,70,75,2.06,CA,1702759389
97,la passe,45.5549,-0.8967,6.13,86,0,3.78,FR,1702759437
98,belyy yar,53.6039,91.3903,-17.06,78,75,6.0,RU,1702759420
99,tvoroyri,61.5556,-6.8111,7.72,67,100,8.06,FO,1702759469
100,primero de mayo,-32.2552,-58.4228,31.42,69,17,6.16,AR,1702759469
101,lihue,21.9789,-159.3672,24.09,56,100,9.77,US,1702759393
102,baganga,7.5739,126.56,25.99,83,100,5.42,PH,1702759469
103,nogliki,51.8333,143.1667,-20.92,88,96,2.68,RU,1702759469
104,susuman,62.7833,148.1667,-26.12,98,100,1.34,RU,1702759442
105,nemuro,43.3236,145.575,5.06,70,90,14.17,JP,1702759469
106,west island,-12.1568,96.8225,25.99,78,40,4.12,CC,1702759391
107,la sarre,48.8002,-79.1996,-3.73,70,100,4.13,CA,1702759216
108,kone,-21.0595,164.8658,27.52,55,18,1.37,NC,1702759470
109,farrokh shahr,32.2717,50.9801,-3.41,86,0,1.03,IR,1702759470
110,puerto lopez,4.0845,-72.956,30.89,62,93,1.69,CO,1702759470
111,portales,34.1862,-103.3344,15.74,31,0,7.19,US,1702759216
112,meraux,29.933,-89.9498,16.13,85,100,4.63,US,1702759470
113,mount pearl,47.5166,-52.7813,-0.58,54,75,10.29,CA,1702759418
114,cove,7.221,2.3402,25.1,60,3,1.79,BJ,1702759470
115,rio grande,-32.035,-52.0986,31.06,86,68,5.16,BR,1702759470
116,kununurra,-15.7667,128.7333,24.99,100,100,1.54,AU,1702759429
117,pama,11.2497,0.7075,27.09,21,82,2.91,BF,1702759470
118,akureyri,65.6835,-18.0878,2.96,70,75,5.14,IS,1702759471
119,egilsstadir,65.2653,-14.3948,0.95,69,0,5.14,IS,1702759438
120,guerrero negro,27.9769,-114.0611,23.7,28,0,3.94,MX,1702759471
121,meadow lakes,61.6247,-149.6011,-2.67,90,0,1.01,US,1702759471
122,antsohihy,-14.8796,47.9875,26.34,82,70,0.59,MG,1702759471
123,huangnihe,43.5583,128.0239,-21.58,87,99,5.6,CN,1702759471
124,isla mujeres,21.2311,-86.731,27.03,73,84,6.3,MX,1702759471
125,koz'modem'yansk,56.3367,46.5711,-18.0,99,93,2.81,RU,1702759471
126,punta arenas,-53.15,-70.9167,12.06,37,20,13.89,CL,1702759273
127,kirakira,-10.4544,161.9205,26.38,71,51,2.33,SB,1702759471
128,queenstown,-31.8976,26.8753,17.76,87,48,1.73,ZA,1702759472
129,wanning,18.8003,110.3967,19.76,91,100,6.73,CN,1702759472
130,palmer,42.1584,-72.3287,11.78,40,75,0.0,US,1702759472
131,ilulissat,69.2167,-51.1,-14.99,43,20,3.6,GL,1702759398
132,praia da vitoria,38.7333,-27.0667,19.14,94,75,9.34,PT,1702759395
133,arraial do cabo,-22.9661,-42.0278,28.98,78,0,11.83,BR,1702759347
134,whitehorse,60.7161,-135.0538,-8.28,84,20,1.03,CA,1702759398
135,enewetak,11.3474,162.3373,27.51,81,100,9.97,MH,1702759429
136,tuensang,26.2833,94.8333,10.28,94,1,1.61,IN,1702759472
137,bozkir,37.1896,32.2474,9.01,88,47,1.63,TR,1702759472
138,smidovich,48.6,133.8167,-23.73,95,100,1.06,RU,1702759472
139,jindabyne,-36.4167,148.6333,13.59,53,74,0.77,AU,1702759472
140,pisco,-13.7,-76.2167,25.03,69,0,8.75,PE,1702759408
141,immokalee,26.4187,-81.4173,22.19,95,100,5.66,US,1702759473
142,punta del este,-34.9667,-54.95,32.06,58,0,4.63,UY,1702759316
143,palafrugell,41.9174,3.1631,8.59,71,0,4.23,ES,1702759473
144,fort mcmurray,56.7268,-111.381,-1.27,50,0,6.69,CA,1702759473
145,margate,51.3813,1.3862,10.5,90,100,2.68,GB,1702759473
146,namibe,-15.1961,12.1522,22.64,71,35,3.11,AO,1702759429
147,negombo,7.2083,79.8358,25.03,94,40,1.54,LK,1702759473
148,kattivakkam,13.2167,80.3167,26.05,77,100,6.74,IN,1702759473
149,coronel dorrego,-38.7187,-61.2873,32.94,54,54,10.22,AR,1702759473
150,tobruk,32.0836,23.9764,16.87,56,0,0.51,LY,1702759474
151,touros,-5.1989,-35.4608,26.85,79,98,6.86,BR,1702759434
152,hammerfest,70.6634,23.6821,-0.75,80,100,3.6,NO,1702759423
153,tolanaro,-25.0319,46.9987,26.04,89,75,5.14,MG,1702759439
154,yekaterinovka,52.0508,44.3451,-14.01,100,96,3.08,RU,1702759474
155,port alfred,-33.5906,26.891,20.1,91,2,0.45,ZA,1702759403
156,langepas,61.2544,75.2124,-21.94,92,100,3.89,RU,1702759474
157,yuzhno-kurilsk,44.0306,145.8556,4.1,98,98,13.49,RU,1702759474
158,ulanhot,46.0833,122.0833,-23.29,67,0,5.07,CN,1702759419
159,hasaki,35.7333,140.8333,14.22,51,0,6.87,JP,1702759158
160,las veredas,23.1388,-109.7075,29.25,42,40,5.66,MX,1702759224
161,san justo,-30.7891,-60.5919,34.48,56,43,6.5,AR,1702759474
162,puerto deseado,-47.7503,-65.8938,12.09,64,97,7.4,AR,1702759401
